"Country","DeathsPer100k","DeathsPer1000","Years","Region"
"Afghanistan",521,42,54.4,"South Asia"
"Albania",7,10.8,79.9,"Europe"
"Algeria",62,18.6,77.9,"Africa"
"American Samoa",NA,9.5,75.8,"Australia and Oceania"
"Andorra",11,3.3,83.8,"Europe"
"Angola",183,46.1,62.9,"Africa"
"Anguilla",NA,2.9,82.6,"Central America and the Caribbean"
"Antigua and Barbuda",35,13.3,78.3,"Central America and the Caribbean"
"Argentina",33,7.4,78.8,"South America"
"Armenia",19,11.3,76.7,"Central Asia"
"Aruba",NA,11.2,78.5,"Central America and the Caribbean"
"Australia",2,3,83.5,"Australia and Oceania"
"Austria",6,3.2,82.7,"Europe"
"Azerbaijan",18,10.7,75.9,"Central Asia"
"Bahamas, The",76,9.2,76.7,"Central America and the Caribbean"
"Bahrain",17,9.6,80.4,"Middle East"
"Bangladesh",115,22,75.2,"South Asia"
"Barbados",35,15.1,79,"Central America and the Caribbean"
"Belarus",1,2.1,74.7,"Europe"
"Belgium",4,3,82.3,"Europe"
"Belize",67,11.3,74.3,"Central America and the Caribbean"
"Benin",518,51.6,63,"Africa"
"Bermuda",NA,2.1,82.5,"North America"
"Bhutan",47,23,73.7,"South Asia"
"Bolivia",146,22.1,72.5,"South America"
"Bosnia and Herzegovina",6,3.8,78.5,"Europe"
"Botswana",155,27.8,66.4,"Africa"
"Brazil",67,12.7,76.3,"South America"
"British Virgin Islands",NA,13,80.1,"Central America and the Caribbean"
"Brunei",36,9.8,78.9,"East and Southeast Asia"
"Bulgaria",6,7.5,76.1,"Europe"
"Burkina Faso",242,48,64.2,"Africa"
"Burma",185,30.8,70.3,"East and Southeast Asia"
"Burundi",392,35.3,68.1,"Africa"
"Cabo Verde",40,21.9,74.3,"Africa"
"Cambodia",137,27.2,71.4,"East and Southeast Asia"
"Cameroon",258,44.6,64.2,"Africa"
"Canada",12,3.8,84.2,"North America"
"Cayman Islands",NA,7.1,82.5,"Central America and the Caribbean"
"Central African Republic",692,79.3,56.4,"Africa"
"Chad",748,61.1,60,"Africa"
"Chile",10,4.5,80.3,"South America"
"China",16,6,78.7,"East and Southeast Asia"
"Colombia",59,11.6,74.9,"South America"
"Comoros",179,53.9,67.8,"Africa"
"Congo, Democratic Republic of the",427,55.8,62.6,"Africa"
"Congo, Republic of the",241,29.9,72.9,"Africa"
"Cook Islands",0,14.8,77.6,"Australia and Oceania"
"Costa Rica",24,6.3,80.3,"Central America and the Caribbean"
"Cote d'Ivoire",359,52.3,63.2,"Africa"
"Croatia",3,3.4,77.7,"Europe"
"Cuba",35,5.2,80.1,"Central America and the Caribbean"
"Curacao",NA,7.4,79.9,"Central America and the Caribbean"
"Cyprus",14,7.9,80.2,"Europe"
"Czechia",3,2.5,78.6,"Europe"
"Denmark",4,3.1,82.1,"Europe"
"Djibouti",162,44.3,65.9,"Africa"
"Dominica",36,10.5,78.7,"Central America and the Caribbean"
"Dominican Republic",124,20.8,72.6,"Central America and the Caribbean"
"Ecuador",55,11.2,74.9,"South America"
"Egypt",17,16.4,75,"Africa"
"El Salvador",39,10,75.9,"Central America and the Caribbean"
"Equatorial Guinea",174,76.9,63.9,"Africa"
"Eritrea",291,39,67.5,"Africa"
"Estonia",5,2,78.4,"Europe"
"Eswatini",118,38,60.7,"Africa"
"Ethiopia",195,31.3,67.7,"Africa"
"Faroe Islands",NA,5.6,81.7,"Europe"
"Fiji",30,9.4,74.8,"Australia and Oceania"
"Finland",8,1.9,82.2,"Europe"
"France",7,3.1,82.6,"Europe"
"French Polynesia",NA,4.2,78.9,"Australia and Oceania"
"Gabon",233,26,70.4,"Africa"
"Gambia, The",354,35,68.4,"Africa"
"Gaza Strip",16,14.2,75.5,"Middle East"
"Georgia",20,20.9,72.8,"Central Asia"
"Germany",4,3,81.9,"Europe"
"Ghana",234,30.5,70.1,"Africa"
"Gibraltar",NA,5.9,80.9,"Europe"
"Greece",5,3.4,81.9,"Europe"
"Greenland",NA,8.3,74.5,"North America"
"Grenada",48,8.8,76.3,"Central America and the Caribbean"
"Guam",NA,10.7,78,"Australia and Oceania"
"Guatemala",94,23.4,73.5,"Central America and the Caribbean"
"Guernsey",NA,3.2,83.6,"Europe"
"Guinea",494,45.8,64.6,"Africa"
"Guinea-Bissau",505,45.1,64.5,"Africa"
"Guyana",75,20.6,72.4,"South America"
"Haiti",328,35,65.6,"Central America and the Caribbean"
"Honduras",47,15.4,73.1,"Central America and the Caribbean"
"Hong Kong",NA,2.4,84,"East and Southeast Asia"
"Hungary",12,4.6,76,"Europe"
"Iceland",3,1.6,84,"Europe"
"India",80,30.5,68.2,"South Asia"
"Indonesia",140,18.5,73.6,"East and Southeast Asia"
"Iran",16,9.7,75.6,"Middle East"
"Iraq",66,18.3,73.7,"Middle East"
"Ireland",4,3.2,82,"Europe"
"Isle of Man",NA,4,82.5,"Europe"
"Israel",2,2.6,83.1,"Middle East"
"Italy",6,3,83,"Europe"
"Jamaica",130,14.5,76.3,"Central America and the Caribbean"
"Japan",3,1.8,85.2,"East and Southeast Asia"
"Jersey",NA,3.7,83,"Europe"
"Jordan",31,12.9,76.5,"Middle East"
"Kazakhstan",10,7.9,73.3,"Central Asia"
"Kenya",379,26.8,70.4,"Africa"
"Kiribati",80,30.8,68.5,"Australia and Oceania"
"Korea, North",67,14.7,73.5,"East and Southeast Asia"
"Korea, South",4,2.2,83.4,"East and Southeast Asia"
"Kosovo",NA,21,73.1,"Europe"
"Kuwait",8,7,79.6,"Middle East"
"Kyrgyzstan",42,24,72.9,"Central Asia"
"Laos",112,34.2,69,"East and Southeast Asia"
"Latvia",19,2.4,76.4,"Europe"
"Lebanon",15,7.3,79.2,"Middle East"
"Lesotho",478,52.2,60.2,"Africa"
"Liberia",628,55.2,61.6,"Africa"
"Libya",59,10.4,77.7,"Africa"
"Liechtenstein",NA,3.8,83,"Europe"
"Lithuania",8,2.5,76.1,"Europe"
"Luxembourg",12,3.1,83.4,"Europe"
"Macau",NA,4.3,85.3,"East and Southeast Asia"
"Madagascar",445,38.4,68.8,"Africa"
"Malawi",225,28.9,73,"Africa"
"Malaysia",26,6.3,76.6,"East and Southeast Asia"
"Maldives",32,23.7,77.4,"South Asia"
"Mali",367,55.8,63.2,"Africa"
"Malta",8,4.6,83.6,"Europe"
"Marshall Islands",155,20.1,75.2,"Australia and Oceania"
"Mauritania",381,29.9,65.9,"Africa"
"Mauritius",66,11.4,75.4,"Africa"
"Mexico",42,12.3,74.6,"North America"
"Micronesia, Federated States of",129,20.4,75,"Australia and Oceania"
"Moldova",19,13.5,70.1,"Europe"
"Monaco",5,1.7,89.8,"Europe"
"Mongolia",41,8.6,71.9,"East and Southeast Asia"
"Montenegro",6,3.1,78.2,"Europe"
"Montserrat",NA,9.4,76.1,"Central America and the Caribbean"
"Morocco",70,17.8,74.2,"Africa"
"Mozambique",82,56.7,58.3,"Africa"
"Namibia",139,27.1,65.9,"Africa"
"Nauru",273,7.5,68.6,"Australia and Oceania"
"Nepal",142,23.4,73,"South Asia"
"Netherlands",4,3.6,81.9,"Europe"
"New Caledonia",NA,4.8,79.3,"Australia and Oceania"
"New Zealand",7,3.3,82.9,"Australia and Oceania"
"Nicaragua",60,14.1,74.7,"Central America and the Caribbean"
"Niger",350,63,60.9,"Africa"
"Nigeria",993,65.6,62.2,"Africa"
"North Macedonia",3,6.8,77.3,"Europe"
"Northern Mariana Islands",NA,11.6,77.1,"Australia and Oceania"
"Norway",1,1.8,82.9,"Europe"
"Oman",13,13.6,77.4,"Middle East"
"Pakistan",155,50.3,70.3,"South Asia"
"Palau",89,10.6,75.2,"Australia and Oceania"
"Panama",37,13.2,79.2,"Central America and the Caribbean"
"Papua New Guinea",189,31.3,70.1,"East and Southeast Asia"
"Paraguay",58,21.4,78.8,"South America"
"Peru",51,10.6,68.9,"South America"
"Philippines",84,18.5,70.8,"East and Southeast Asia"
"Poland",2,4.6,76.7,"Europe"
"Portugal",15,2.4,81.9,"Europe"
"Puerto Rico",11,5.7,82.1,"Central America and the Caribbean"
"Qatar",4,6.2,80.3,"Middle East"
"Romania",12,5.3,76.9,"Europe"
"Russia",9,6.4,72.3,"Central Asia"
"Rwanda",229,27.4,66.6,"Africa"
"Saint Barthelemy",NA,6.3,81,"Central America and the Caribbean"
"Saint Helena, Ascension, and Tristan da Cunha",NA,17.5,80.9,"Africa"
"Saint Kitts and Nevis",74,7.9,77.6,"Central America and the Caribbean"
"Saint Lucia",44,11.3,79.4,"Central America and the Caribbean"
"Saint Martin",NA,6.3,81,"Central America and the Caribbean"
"Saint Pierre and Miquelon",NA,7.6,81.8,"North America"
"Saint Vincent and the Grenadines",56,12,77.2,"Central America and the Caribbean"
"Samoa",101,17.2,75.7,"Australia and Oceania"
"San Marino",8,6.1,84.2,"Europe"
"Sao Tome and Principe",75,41.7,67.7,"Africa"
"Saudi Arabia",7,11.4,77.2,"Middle East"
"Senegal",237,30.4,70.6,"Africa"
"Serbia",11,4.4,75.3,"Europe"
"Seychelles",42,10,76.6,"Africa"
"Sierra Leone",354,70.1,59.4,"Africa"
"Singapore",6,1.5,86.7,"East and Southeast Asia"
"Sint Maarten",NA,7.5,79.7,"Central America and the Caribbean"
"Slovakia",4,5,77.2,"Europe"
"Slovenia",3,1.8,82.2,"Europe"
"Solomon Islands",123,18.6,77.2,"Australia and Oceania"
"Somalia",563,81.5,56.5,"Africa"
"South Africa",118,19.7,71.9,"Africa"
"South Sudan",692,58.6,60.3,"Africa"
"Spain",3,2.4,83,"Europe"
"Sri Lanka",18,6.8,76.8,"South Asia"
"Sudan",256,39.7,67.8,"Africa"
"Suriname",84,29.3,72.7,"South America"
"Sweden",4,2.2,82.9,"Europe"
"Switzerland",5,3,83.9,"Europe"
"Syria",20,14.7,74.8,"Middle East"
"Taiwan",NA,3.8,81.6,"East and Southeast Asia"
"Tajikistan",14,20.3,71.9,"Central Asia"
"Tanzania",276,28.4,70.8,"Africa"
"Thailand",34,6.2,78.2,"East and Southeast Asia"
"Timor-Leste",192,41.9,70.5,"East and Southeast Asia"
"Togo",349,34.5,72.1,"Africa"
"Tonga",67,11.5,78,"Australia and Oceania"
"Trinidad and Tobago",54,14.7,76.5,"Central America and the Caribbean"
"Tunisia",36,10.6,77.3,"Africa"
"Turkey (Turkiye)",15,17.9,76.7,"Middle East"
"Turkmenistan",5,35,72.4,"Central Asia"
"Turks and Caicos Islands",NA,10.8,81.3,"Central America and the Caribbean"
"Tuvalu",170,27.2,69,"Australia and Oceania"
"Uganda",170,27.5,69.7,"Africa"
"Ukraine",15,8.4,70.5,"Europe"
"United Arab Emirates",3,4.9,79.9,"Middle East"
"United Kingdom",8,3.7,82.2,"Europe"
"United States",17,5,80.9,"North America"
"Uruguay",15,6.9,78.9,"South America"
"Uzbekistan",26,17.6,76.2,"Central Asia"
"Vanuatu",100,13.4,75.7,"Australia and Oceania"
"Venezuela",227,13.6,74.5,"South America"
"Vietnam",48,13.8,76.1,"East and Southeast Asia"
"Virgin Islands",NA,7.2,80.7,"Central America and the Caribbean"
"Wallis and Futuna",NA,3.8,81.1,"Australia and Oceania"
"West Bank",16,14.2,76.5,"Middle East"
"Yemen",118,42.4,68.2,"Middle East"
"Zambia",85,30.1,66.9,"Africa"
"Zimbabwe",358,32.8,67.2,"Africa"
